phase,order,ticket_id,filename,title,priority,status,confidence,objective,scope,functional_requirements,technical_requirements,acceptance_criteria,required_tests,documentation_updates,out_of_scope,dependencies,implemented_evidence,test_evidence,documentation_evidence,missing_requirements,blockers,recommended_action,overlay
phase-1,11,1.5,01-05-document-evidence-model.md,Ticket 1.5 - Implement Document Metadata and Evidence Attachment model,P0,IMPLEMENTED,HIGH,Allow documents to support proof events without making CoriTech a generic document folder.,"Implement Document and EvidenceAttachment. | Store metadata and object-storage references, not raw files in DB. | Add access classifications INTERNAL, ORDER_PARTICIPANTS, RESTRICTED, BUYER_VIEW_ELIGIBLE, ADMIN_ONLY. | Allow documents to link to order, shipment or proof event. | Prepare upload/view audit hooks.",,,"Documents can be linked to order, shipment or proof event. | File metadata is stored. | Access classification is mandatory. | Evidence attachments can support proof events. | Upload and view actions are audit-hook-ready. | No local filesystem dependency for production documents.",,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,"schema.prisma contains Document and EvidenceAttachment | packages/domain/src/documents/document-evidence.mjs implements metadata, classification, view checks and evidence attachment helpers","packages/domain/src/documents/document-evidence.test.mjs covers object-storage references, access classification and endpoint contracts",docs/data-model/core-data-model.md documents document/evidence foundation,No missing core metadata/evidence acceptance evidence found; file upload and preview remain later tickets,,Keep production documents object-storage backed and route all viewing through controlled access paths.,docs/tickets/_analysis/status-overlays/phase-1/01-05.status.md
phase-1,12,1.6,01-06-proof-event-v1.md,Ticket 1.6 - Implement Proof Event model v1,P0,IMPLEMENTED,HIGH,Create the atomic unit of CoriTech trust: an event-based proof record.,"Implement ProofEvent with links to order, shipment and optional horse. | Event types include SEMEN_ORDER_CREATED, SUBMITTED, CONFIRMED, REJECTED, SHIPMENT_CREATED, SHIPMENT_STATUS_UPDATED, SHIPMENT_CONFIRMED, DOCUMENT_UPLOADED, ORDER_COMPLETED, ADMIN_CORRECTION_CREATED. | Include event trigger/source, actor, role, organization, lifecycle stage, verification level and timestamps. | Prepare hooks for signatures/attestations later.",,,"Proof events can be generated from order and shipment actions. | Proof events include actor, role, organization and timestamp. | Proof events have verification level. | Proof events are linked to audit log or audit hook. | Proof events cannot be silently deleted by normal users. | Model supports later signatures and attestations.",,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,schema.prisma contains ProofEvent | packages/domain/src/proof/proof-event.mjs implements createProofEventFromHook and append-only deletion policy,"packages/domain/src/proof/proof-event.test.mjs covers order/shipment hooks, verification levels and explicit proof creation",docs/data-model/proof-event-model.md and docs/data-model/core-data-model.md document proof-event foundation,Automatic proof-event generation from every action and duplicate prevention remain separate Ticket 7.x scope,,Use explicit proof services now; implement automation only after command services exist.,docs/tickets/_analysis/status-overlays/phase-1/01-06.status.md
phase-1,13,1.7,01-07-verification-level-v1.md,Ticket 1.7 - Implement Verification Level taxonomy v1,P0,IMPLEMENTED,HIGH,Make trust strength visible and structured from the beginning.,"Add verification level enum: SELF_REPORTED, SYSTEM_RECORDED, STATION_CONFIRMED, ADMIN_REVIEWED. | Prepare future values VET_SIGNED, FEDERATION_ATTESTED and VERIFIED_FOR_TRANSACTION. | Implement derivation service based on event type and actor role. | Add UI-ready labels/badges metadata.",,,Proof event requires verification level. | Verification level can be derived from event type and actor role. | Future levels exist but are marked not active in Phase 1. | Tests validate derivation rules. | Documentation explains the taxonomy.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,schema.prisma contains VerificationLevel | packages/domain/src/proof/verification-level.mjs implements active/future taxonomy and derivation,packages/domain/src/proof/verification-level.test.mjs covers derivation rules and future inactive levels,docs/data-model/proof-event-model.md documents verification-level taxonomy,No missing core taxonomy acceptance evidence found,,Expose verification levels through shared UI badges as later proof timeline work expands.,docs/tickets/_analysis/status-overlays/phase-1/01-07.status.md
phase-1,14,1.8,01-08-audit-log-v1.md,Ticket 1.8 - Implement Audit Log v1,P0,IMPLEMENTED,HIGH,"Record trust-relevant actions so CoriTech can prove who did what, when and under which role.","Implement AuditLog with actor, role, organization, action, object type/id, previous/new values, reason, IP/user agent and timestamp. | Actions include CREATE, UPDATE, STATUS_CHANGE, UPLOAD_DOCUMENT, VIEW_DOCUMENT, CREATE_PROOF_EVENT, CHANGE_PERMISSION, ADMIN_EDIT, CREATE_AMENDMENT, LOGIN, LOGOUT. | Add service helper and query by object. | Integrate hooks for critical workflow actions.",,,"Audit logs are created for critical workflow actions. | Audit logs include actor, role, organization and timestamp. | Admin edits and status changes are logged. | Document uploads/views can be logged. | Audit logs are queryable by object. | Normal users cannot edit audit logs.",,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,"schema.prisma contains AuditLog | packages/domain/src/audit/audit-log.mjs implements append-only policy, hook materialization and object queries","packages/domain/src/audit/audit-log.test.mjs covers workflow hooks, admin-edit restrictions and object queries",docs/data-model/core-data-model.md and docs/security/role-permission-matrix.md document audit behavior,No missing core audit-log acceptance evidence found; app-wide runtime logging remains a Phase 1.1 wiring gap,,Keep audit logging inside command services so UI actions cannot bypass it.,docs/tickets/_analysis/status-overlays/phase-1/01-08.status.md
phase-1,15,1.9,01-09-amendment-v1.md,Ticket 1.9 - Implement Correction / Amendment model v1,P1,IMPLEMENTED,HIGH,Allow corrections without silently overwriting trust-critical records.,"Implement Amendment with target object, original value, amended value, reason, actor, approver and status. | Statuses: DRAFT, SUBMITTED, APPROVED, REJECTED. | Allow admin-created amendments for selected proof-relevant records. | Link amendment to audit log and proof event where relevant.",,,Admin can create amendment for selected objects. | Original value is preserved. | Reason is mandatory. | Amendment creates audit log. | Amendment can link to proof event. | No trust-critical field is silently overwritten.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,"schema.prisma contains Amendment | packages/domain/src/amendments/amendment.mjs implements amendment creation, original/amended values, audit/proof hooks and no silent overwrite policy","packages/domain/src/amendments/amendment.test.mjs covers reason requirements, admin permissions and proof hook materialization",docs/data-model/core-data-model.md documents Amendment,No missing core amendment-model acceptance evidence found; admin UI workflow remains separate,,Use amendment evidence in admin support workflows instead of mutating historical records.,docs/tickets/_analysis/status-overlays/phase-1/01-09.status.md
phase-1,16,2.1,02-01-auth-provider.md,Ticket 2.1 - Integrate managed authentication provider,P0,IMPLEMENTED,HIGH,Use a proven authentication provider rather than building custom authentication.,"Integrate managed auth provider. | Configure login, logout, session handling, password reset and email verification if supported. | Map external identity to internal User. | Prepare admin MFA documentation. | Use environment config from Ticket 0.3.",,,Users can sign up/login/logout. | Auth identity maps to internal User. | Password handling is not custom-built. | Admin MFA is available or documented. | Auth config is environment-based. | Auth provider account is CoriTech-controlled.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,"apps/web/app/login/page.tsx implements the login entry point. | apps/web/app/auth/login/route.ts, auth/callback/route.ts, auth/logout/route.ts and logout/page.tsx implement auth routing. | apps/web/features/auth/server-session.ts maps managed provider identity to internal User and UserOrganizationRole records. | apps/web/app/app/layout.tsx protects app routes before children render.",apps/web/features/auth/auth-routes.test.mjs covers auth route helpers. | apps/web/features/auth/server-session.test.mjs covers signed session and identity mapping behavior. | npm test passed.,"docs/security/managed-auth-provider.md documents the managed provider flow, routes and limitations.",Production provider tenant and secrets are intentionally not present in the repository.,External provider configuration must be supplied in deployment environments.,Keep this ticket closed at implementation level; verify production provider setup during deployment readiness work.,docs/tickets/_analysis/status-overlays/phase-1/02-01.status.md
phase-1,17,2.2,02-02-rbac-middleware.md,Ticket 2.2 - Implement RBAC permission middleware,P0,PARTIALLY_IMPLEMENTED,HIGH,Ensure role-specific access to the same proof infrastructure.,"Implement API permission middleware. | Enforce breeder, breeding station and platform admin access rules. | Apply role, organization and order-level checks. | Return 403 on unauthorized access. | Add tests for allowed and denied cases.",,,Breeder can view/create own orders only. | Breeding Station can manage own listings and assigned orders. | Platform Admin access is controlled and logged. | Unauthorized access returns 403. | Permission failures are logged where relevant. | Tests cover positive and negative access cases.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,"packages/domain/src/rbac/permissions.mjs implements permission helpers including document/order checks. | apps/web/features/auth/active-context-runtime.mjs validates active organization and role context. | apps/web/app/app/admin/layout.tsx, station/layout.tsx and breeder/layout.tsx enforce role-specific route access. | apps/web/features/auth/server-session.ts loads internal memberships for request-time role checks.",packages/domain/src/rbac/permissions.test.mjs covers core permission checks. | apps/web/features/auth/active-context-runtime.test.mjs and role-routing.test.mjs cover context/role behavior. | npm test passed.,docs/security/role-permission-matrix.md documents the role matrix. | docs/architecture/api-contract-and-service-conventions.md requires handlers to derive auth context before commands.,No single app-wide API middleware/proxy layer enforces RBAC for every future API route. | Some enforcement is still route/service local.,Needs a shared request guard pattern before large admin/API expansion.,Finish runtime RBAC wiring for API and route handlers before broad admin/support actions.,docs/tickets/_analysis/status-overlays/phase-1/02-02.status.md
phase-1,18,2.3,02-03-access-permission-v1.md,Ticket 2.3 - Implement Access Permission model v1,P1,IMPLEMENTED,HIGH,Prepare controlled visibility and future Buyer View logic.,"Implement AccessPermission with user, organization, role, object type/id, scope, grantor and expiry. | Scopes: VIEW, CREATE, UPDATE, CONFIRM, UPLOAD_DOCUMENT, VIEW_DOCUMENT, ADMIN_SUPPORT. | Add service for permission checks. | Prepare future BUYER_VIEW scope but do not activate broad buyer access.",,,Permissions can be created for object-level access. | Permissions can be time-bounded. | Permissions can be checked by service layer. | Buyer View scope is prepared but not active by default. | Permission changes are audit logged.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,"schema.prisma contains AccessPermission | packages/domain/src/access/access-permission.mjs implements create, revoke and object-level access checks","packages/domain/src/access/access-permission.test.mjs covers time bounds, scope checks, BUYER_VIEW denial and audit logs",docs/security/role-permission-matrix.md documents object-level grants,No missing model/service acceptance evidence found; admin UI for permission management remains separate,,Use AccessPermission in document/admin UI only through explicit scoped grants.,docs/tickets/_analysis/status-overlays/phase-1/02-03.status.md
phase-1,19,12.2,12-02-role-permission-matrix-doc.md,Ticket 12.2 - Create role/permission matrix documentation,P0,IMPLEMENTED,HIGH,"Make access logic reviewable for investors, CTOs and GDPR/security reviewers.",Document roles and what each can view/create/update/confirm/upload. | Document restrictions. | Document Buyer View as future permissioned generated view. | Document external technical support restrictions.,,,"Matrix exists in /docs/security/role-permission-matrix.md. | Covers Breeder, Breeding Station and Platform Admin. | Prepares Vet, Federation, Buyer and Tech Support. | States Buyer View is not full database access. | States technical support access is restricted and time-bounded.",,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,docs/security/role-permission-matrix.md exists and references executable enforcement sources,docs/security/role-permission-matrix.test.mjs validates role matrix content,"docs/security/role-permission-matrix.md covers active and future roles, buyer boundary and support boundary",No missing role-permission matrix acceptance evidence found,,Keep matrix synchronized when new permission surfaces are implemented.,docs/tickets/_analysis/status-overlays/phase-1/12-02.status.md
phase-1,20,3.1,03-01-breeder-dashboard.md,Ticket 3.1 - Create Breeder dashboard,P0,IMPLEMENTED,HIGH,"Give breeders a simple operational dashboard for semen catalog, orders and status tracking.","Create dashboard sections: active listings, my orders, order status summary, recent documents, notifications/action required. | Enforce role-based rendering. | Link to catalog and order detail pages. | Add loading, empty and error states.",,,Breeder sees only own organization context. | Breeder can navigate to catalog. | Breeder can create order from listing. | Breeder can view own orders and status history. | Breeder cannot see other breeder orders.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,apps/web/app/app/breeder/page.tsx renders the breeder dashboard behind active breeder context. | apps/web/features/breeder-dashboard/breeder-dashboard.mjs builds dashboard sections from order data. | apps/web/features/orders/prisma-semen-order-repository.ts supplies durable order data.,apps/web/features/breeder-dashboard/breeder-dashboard.test.mjs covers dashboard view model behavior. | npm test passed.,docs/ui-status.md and docs/ui-function-map.md document breeder dashboard route/function status.,No missing core dashboard acceptance evidence found in the current codebase.,,Keep this ticket closed; extend only through later ticket-specific workflows.,docs/tickets/_analysis/status-overlays/phase-1/03-01.status.md
